filename,category,score,path
11333660.pdf,CONSULTANT,3.71,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\11333660.pdf
78149576.pdf,DESIGNER,3.71,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\78149576.pdf
34689720.pdf,TEACHER,3.7,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\34689720.pdf
90318913.pdf,AVIATION,3.69,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\90318913.pdf
56691064.pdf,ENGINEERING,3.69,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\56691064.pdf
15499825.pdf,HEALTHCARE,3.68,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\15499825.pdf
12777487.pdf,ARTS,3.67,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\12777487.pdf
27981289.pdf,DIGITAL-MEDIA,3.65,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\27981289.pdf
19070271.pdf,APPAREL,3.65,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\19070271.pdf
24592627.pdf,AUTOMOBILE,3.62,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AUTOMOBILE\24592627.pdf
74522938.pdf,CHEF,3.61,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\74522938.pdf
53169257.pdf,ADVOCATE,3.6,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\53169257.pdf
73075521.pdf,CONSULTANT,3.6,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\73075521.pdf
29792535.pdf,FITNESS,3.6,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\29792535.pdf
30288581.pdf,ENGINEERING,3.6,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ENGINEERING\30288581.pdf
20824105.pdf,INFORMATION-TECHNOLOGY,3.6,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\20824105.pdf
26279402.pdf,AVIATION,3.59,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\26279402.pdf
12635195.pdf,INFORMATION-TECHNOLOGY,3.59,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\12635195.pdf
