filename,category,score,path
37540732.pdf,SALES,40.96,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\37540732.pdf
76916835.pdf,BUSINESS-DEVELOPMENT,38.19,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\76916835.pdf
18368613.pdf,SALES,36.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\18368613.pdf
24964303.pdf,BUSINESS-DEVELOPMENT,35.52,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\24964303.pdf
20423658.pdf,SALES,34.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\20423658.pdf
24767027.pdf,FITNESS,34.86,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\24767027.pdf
22319662.pdf,SALES,34.45,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\22319662.pdf
30608780.pdf,SALES,34.32,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\30608780.pdf
31761591.pdf,APPAREL,34.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\31761591.pdf
12587973.pdf,TEACHER,33.99,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\TEACHER\12587973.pdf
10289113.pdf,BUSINESS-DEVELOPMENT,33.88,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\10289113.pdf
26046878.pdf,APPAREL,33.68,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\26046878.pdf
18171955.pdf,SALES,33.61,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\18171955.pdf
98509238.pdf,SALES,32.92,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\98509238.pdf
27219200.pdf,BUSINESS-DEVELOPMENT,32.84,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27219200.pdf
12315079.pdf,HEALTHCARE,32.13,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\12315079.pdf
24548333.pdf,HEALTHCARE,32.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\24548333.pdf
20255404.pdf,FITNESS,31.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\20255404.pdf
19108760.pdf,ADVOCATE,31.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\19108760.pdf
34131484.pdf,SALES,31.28,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\34131484.pdf
24946537.pdf,ADVOCATE,31.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\24946537.pdf
15680735.pdf,HEALTHCARE,31.18,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\15680735.pdf
15811992.pdf,BUSINESS-DEVELOPMENT,31.16,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\15811992.pdf
12082377.pdf,SALES,31.16,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\12082377.pdf
11773925.pdf,BANKING,30.97,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\11773925.pdf
34797369.pdf,BUSINESS-DEVELOPMENT,30.87,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\34797369.pdf
59422148.pdf,SALES,30.82,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\59422148.pdf
28867567.pdf,SALES,30.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\28867567.pdf
11551946.pdf,BUSINESS-DEVELOPMENT,30.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\11551946.pdf
38108845.pdf,FITNESS,30.59,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\38108845.pdf
28916894.pdf,BUSINESS-DEVELOPMENT,30.5,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\28916894.pdf
36366044.pdf,CHEF,30.09,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\36366044.pdf
16694152.pdf,BUSINESS-DEVELOPMENT,30.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\16694152.pdf
12814706.pdf,BUSINESS-DEVELOPMENT,29.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\12814706.pdf
79261033.pdf,BPO,29.94,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BPO\79261033.pdf
33578873.pdf,SALES,29.9,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\33578873.pdf
25315791.pdf,SALES,29.88,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\25315791.pdf
27937592.pdf,BUSINESS-DEVELOPMENT,29.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27937592.pdf
14945250.pdf,DIGITAL-MEDIA,29.65,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\14945250.pdf
14752209.pdf,BUSINESS-DEVELOPMENT,29.55,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\14752209.pdf
13574264.pdf,BUSINESS-DEVELOPMENT,29.53,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\13574264.pdf
31273310.pdf,BUSINESS-DEVELOPMENT,29.34,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\31273310.pdf
34303500.pdf,SALES,29.17,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\34303500.pdf
38087844.pdf,SALES,29.02,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\38087844.pdf
17714174.pdf,APPAREL,28.85,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\17714174.pdf
12351749.pdf,SALES,28.83,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\12351749.pdf
13178604.pdf,SALES,28.75,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\13178604.pdf
23760084.pdf,SALES,28.62,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\23760084.pdf
11842348.pdf,BANKING,28.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\11842348.pdf
26278597.pdf,BUSINESS-DEVELOPMENT,28.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\26278597.pdf
29928796.pdf,SALES,28.25,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\29928796.pdf
31638814.pdf,BUSINESS-DEVELOPMENT,28.2,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\31638814.pdf
40987524.pdf,SALES,27.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\40987524.pdf
18236085.pdf,BUSINESS-DEVELOPMENT,27.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\18236085.pdf
25547145.pdf,ACCOUNTANT,27.59,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\25547145.pdf
17410700.pdf,SALES,27.45,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\17410700.pdf
36970996.pdf,SALES,27.39,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\36970996.pdf
32433431.pdf,CONSULTANT,27.3,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\32433431.pdf
55104715.pdf,SALES,27.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\55104715.pdf
91533580.pdf,APPAREL,26.95,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\91533580.pdf
47067533.pdf,BUSINESS-DEVELOPMENT,26.84,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\47067533.pdf
15535920.pdf,CONSULTANT,26.74,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\15535920.pdf
14990354.pdf,BUSINESS-DEVELOPMENT,26.58,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\14990354.pdf
27850777.pdf,BUSINESS-DEVELOPMENT,26.57,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27850777.pdf
19920687.pdf,BANKING,26.54,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\19920687.pdf
26932091.pdf,SALES,26.4,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\26932091.pdf
28198029.pdf,SALES,26.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\28198029.pdf
15581242.pdf,SALES,26.29,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\15581242.pdf
10235429.pdf,FITNESS,26.21,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\10235429.pdf
14070138.pdf,BUSINESS-DEVELOPMENT,26.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\14070138.pdf
36074301.pdf,SALES,26.05,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\36074301.pdf
27004930.pdf,BUSINESS-DEVELOPMENT,25.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27004930.pdf
24544244.pdf,AVIATION,25.97,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\AVIATION\24544244.pdf
80275976.pdf,BUSINESS-DEVELOPMENT,25.94,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\80275976.pdf
20330739.pdf,DIGITAL-MEDIA,25.94,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\20330739.pdf
81310245.pdf,BUSINESS-DEVELOPMENT,25.75,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\81310245.pdf
37735467.pdf,SALES,25.67,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\37735467.pdf
20633855.pdf,BUSINESS-DEVELOPMENT,25.67,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\20633855.pdf
25810233.pdf,SALES,25.56,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\25810233.pdf
27715131.pdf,ARTS,25.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\27715131.pdf
43375498.pdf,BANKING,25.24,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\43375498.pdf
39875803.pdf,BUSINESS-DEVELOPMENT,25.24,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\39875803.pdf
36170003.pdf,BUSINESS-DEVELOPMENT,25.23,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\36170003.pdf
26942552.pdf,DESIGNER,25.2,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DESIGNER\26942552.pdf
10464113.pdf,SALES,25.17,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\10464113.pdf
14358578.pdf,SALES,25.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\14358578.pdf
29825044.pdf,BUSINESS-DEVELOPMENT,24.98,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\29825044.pdf
26896699.pdf,BUSINESS-DEVELOPMENT,24.82,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\26896699.pdf
82118447.pdf,BUSINESS-DEVELOPMENT,24.78,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\82118447.pdf
18937778.pdf,BUSINESS-DEVELOPMENT,24.69,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\18937778.pdf
33072201.pdf,PUBLIC-RELATIONS,24.67,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\33072201.pdf
58428843.pdf,SALES,24.61,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\58428843.pdf
17115815.pdf,BUSINESS-DEVELOPMENT,24.4,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\17115815.pdf
65708020.pdf,BUSINESS-DEVELOPMENT,24.37,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\65708020.pdf
38688388.pdf,BUSINESS-DEVELOPMENT,24.34,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\38688388.pdf
14825300.pdf,BUSINESS-DEVELOPMENT,24.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\14825300.pdf
13386301.pdf,APPAREL,24.32,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\13386301.pdf
28051330.pdf,BANKING,24.27,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\28051330.pdf
16846478.pdf,BUSINESS-DEVELOPMENT,24.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\16846478.pdf
31556198.pdf,FITNESS,24.11,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\31556198.pdf
36904300.pdf,SALES,24.09,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\36904300.pdf
27139412.pdf,BUSINESS-DEVELOPMENT,23.95,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\27139412.pdf
13352113.pdf,HEALTHCARE,23.83,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\13352113.pdf
91467795.pdf,BUSINESS-DEVELOPMENT,23.78,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\91467795.pdf
79376680.pdf,SALES,23.78,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\79376680.pdf
39142536.pdf,BANKING,23.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\39142536.pdf
20748929.pdf,BUSINESS-DEVELOPMENT,23.45,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\20748929.pdf
16519708.pdf,BUSINESS-DEVELOPMENT,23.44,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\16519708.pdf
16091352.pdf,BUSINESS-DEVELOPMENT,23.33,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\16091352.pdf
24411323.pdf,FINANCE,23.31,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\24411323.pdf
18640927.pdf,FINANCE,23.23,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\18640927.pdf
16280971.pdf,SALES,23.19,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\16280971.pdf
20110597.pdf,HEALTHCARE,23.12,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\20110597.pdf
18311419.pdf,BUSINESS-DEVELOPMENT,23.11,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\18311419.pdf
20835760.pdf,HEALTHCARE,22.91,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\20835760.pdf
18293620.pdf,BUSINESS-DEVELOPMENT,22.91,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\18293620.pdf
18975686.pdf,FINANCE,22.85,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\18975686.pdf
41651672.pdf,BANKING,22.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\41651672.pdf
10138632.pdf,SALES,22.72,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\10138632.pdf
20148147.pdf,ARTS,22.64,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\20148147.pdf
21856577.pdf,BANKING,22.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\21856577.pdf
10329506.pdf,BANKING,22.58,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\10329506.pdf
20317319.pdf,BUSINESS-DEVELOPMENT,22.56,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\20317319.pdf
95382114.pdf,BUSINESS-DEVELOPMENT,22.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\95382114.pdf
18328743.pdf,SALES,22.43,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\18328743.pdf
22855060.pdf,FITNESS,22.41,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\22855060.pdf
12021752.pdf,BANKING,22.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\12021752.pdf
20470943.pdf,PUBLIC-RELATIONS,22.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\20470943.pdf
15423153.pdf,BUSINESS-DEVELOPMENT,22.29,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\15423153.pdf
59696315.pdf,BUSINESS-DEVELOPMENT,22.21,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\59696315.pdf
26425074.pdf,SALES,22.16,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\26425074.pdf
11332602.pdf,FITNESS,21.95,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\11332602.pdf
20400279.pdf,ADVOCATE,21.91,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\20400279.pdf
28609364.pdf,DIGITAL-MEDIA,21.77,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\28609364.pdf
12059198.pdf,BUSINESS-DEVELOPMENT,21.77,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\12059198.pdf
20357858.pdf,BUSINESS-DEVELOPMENT,21.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\20357858.pdf
31225895.pdf,APPAREL,21.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\31225895.pdf
10076271.pdf,HEALTHCARE,21.57,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\10076271.pdf
14241621.pdf,BUSINESS-DEVELOPMENT,21.5,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\14241621.pdf
10501991.pdf,BUSINESS-DEVELOPMENT,21.46,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\10501991.pdf
29184740.pdf,SALES,21.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\29184740.pdf
16223371.pdf,SALES,21.22,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\16223371.pdf
19402977.pdf,APPAREL,21.12,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\19402977.pdf
29648950.pdf,FINANCE,21.04,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\29648950.pdf
11902276.pdf,PUBLIC-RELATIONS,20.96,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\11902276.pdf
16702198.pdf,HEALTHCARE,20.9,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\16702198.pdf
25935030.pdf,ACCOUNTANT,20.87,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\25935030.pdf
18484846.pdf,HEALTHCARE,20.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\18484846.pdf
59938965.pdf,FINANCE,20.74,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\59938965.pdf
10704573.pdf,BUSINESS-DEVELOPMENT,20.68,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\10704573.pdf
10549585.pdf,FINANCE,20.59,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\10549585.pdf
61677751.pdf,BUSINESS-DEVELOPMENT,20.51,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\61677751.pdf
25723793.pdf,DIGITAL-MEDIA,20.46,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\25723793.pdf
18129173.pdf,HEALTHCARE,20.44,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\18129173.pdf
50324968.pdf,APPAREL,20.36,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\50324968.pdf
42332765.pdf,PUBLIC-RELATIONS,20.31,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\PUBLIC-RELATIONS\42332765.pdf
40088790.pdf,ADVOCATE,20.19,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\40088790.pdf
12820557.pdf,SALES,20.1,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\12820557.pdf
89858892.pdf,FITNESS,20.1,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FITNESS\89858892.pdf
19557384.pdf,BUSINESS-DEVELOPMENT,20.07,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\19557384.pdf
13348915.pdf,SALES,20.01,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\13348915.pdf
28808263.pdf,HR,20.01,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HR\28808263.pdf
15918496.pdf,SALES,20.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\15918496.pdf
69155584.pdf,SALES,19.97,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\69155584.pdf
25162378.pdf,BANKING,19.93,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\25162378.pdf
35673335.pdf,BUSINESS-DEVELOPMENT,19.88,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\35673335.pdf
18900722.pdf,DIGITAL-MEDIA,19.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\DIGITAL-MEDIA\18900722.pdf
72652441.pdf,ADVOCATE,19.8,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\72652441.pdf
29552167.pdf,BANKING,19.75,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\29552167.pdf
26987539.pdf,BANKING,19.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\26987539.pdf
25157655.pdf,ARTS,19.66,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\25157655.pdf
28939941.pdf,ACCOUNTANT,19.63,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ACCOUNTANT\28939941.pdf
12546838.pdf,BUSINESS-DEVELOPMENT,19.6,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\12546838.pdf
73157997.pdf,BANKING,19.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\73157997.pdf
28973180.pdf,FINANCE,19.47,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\FINANCE\28973180.pdf
13565152.pdf,HEALTHCARE,19.39,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\HEALTHCARE\13565152.pdf
97405769.pdf,ADVOCATE,19.37,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\97405769.pdf
31201660.pdf,CONSULTANT,19.26,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CONSULTANT\31201660.pdf
11995013.pdf,ARTS,19.23,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ARTS\11995013.pdf
40792022.pdf,BUSINESS-DEVELOPMENT,19.23,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\40792022.pdf
65456466.pdf,SALES,19.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\65456466.pdf
20553895.pdf,BUSINESS-DEVELOPMENT,19.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\20553895.pdf
91591026.pdf,CHEF,19.14,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\CHEF\91591026.pdf
15273850.pdf,SALES,19.13,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\SALES\15273850.pdf
17818707.pdf,BANKING,19.06,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BANKING\17818707.pdf
12122372.pdf,APPAREL,19.03,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\12122372.pdf
15313140.pdf,ADVOCATE,19.0,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\ADVOCATE\15313140.pdf
24020470.pdf,INFORMATION-TECHNOLOGY,18.89,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\INFORMATION-TECHNOLOGY\24020470.pdf
25370801.pdf,BUSINESS-DEVELOPMENT,18.76,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\BUSINESS-DEVELOPMENT\25370801.pdf
14304010.pdf,APPAREL,18.73,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\14304010.pdf
14937492.pdf,APPAREL,18.7,C:\Users\arjun\OneDrive\Desktop\resumescren\dataset\data\data\APPAREL\14937492.pdf
